om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,has_time
650473,2020,4,2,2020-04-02,,3,OK,40,0,1.75,0,0,0,0,35.26,-99.69,35.26,-99.69,0,0,0,0,0,9,0,0,0,False
650474,2020,4,2,2020-04-02,,3,OK,40,0,1.0,0,0,0,0,35.1,-99.36,35.1,-99.36,0,0,0,0,0,75,0,0,0,False
651118,2020,4,11,2020-04-11,,3,OK,40,0,1.0,0,0,0,0,34.32,-98.69,34.32,-98.69,0,0,0,0,0,141,0,0,0,False
651119,2020,4,11,2020-04-11,,3,TX,48,0,1.25,0,0,0,0,33.1076,-100.4,33.1076,-100.4,0,0,0,0,0,433,0,0,0,False
651120,2020,4,11,2020-04-11,,3,OK,40,0,1.0,0,0,0,0,34.44,-97.96,34.44,-97.96,0,0,0,0,0,137,0,0,0,False
651122,2020,4,11,2020-04-11,,3,TX,48,0,1.75,0,0,0,0,33.15,-100.23,33.15,-100.23,0,0,0,0,0,433,0,0,0,False
651124,2020,4,11,2020-04-11,,3,OK,40,0,1.0,0,0,0,0,34.51,-97.35,34.51,-97.35,0,0,0,0,0,99,0,0,0,False
651125,2020,4,11,2020-04-11,,3,TX,48,0,1.75,0,0,0,0,33.19,-99.96,33.19,-99.96,0,0,0,0,0,207,0,0,0,False
651126,2020,4,11,2020-04-11,,3,TX,48,0,1.5,0,0,0,0,33.19,-99.88,33.19,-99.88,0,0,0,0,0,207,0,0,0,False
651128,2020,4,11,2020-04-11,,3,TX,48,0,1.25,0,0,0,0,34.7405,-100.1749,34.7405,-100.1749,0,0,0,0,0,75,0,0,0,False
651129,2020,4,11,2020-04-11,,3,TX,48,0,1.0,0,0,0,0,34.6995,-100.5051,34.6995,-100.5051,0,0,0,0,0,191,0,0,0,False
651130,2020,4,11,2020-04-11,,3,TX,48,0,1.0,0,0,0,0,34.83,-100.21,34.83,-100.21,0,0,0,0,0,87,0,0,0,False
651135,2020,4,11,2020-04-11,,3,KS,20,0,1.25,0,0,0,0,38.35,-97.02,38.35,-97.02,0,0,0,0,0,115,0,0,0,False
651136,2020,4,11,2020-04-11,,3,KS,20,0,1.75,0,0,0,0,38.32,-96.98,38.32,-96.98,0,0,0,0,0,115,0,0,0,False
651137,2020,4,11,2020-04-11,,3,KS,20,0,2.0,0,0,0,0,38.3,-96.97,38.3,-96.97,0,0,0,0,0,115,0,0,0,False
651139,2020,4,11,2020-04-11,,3,KS,20,0,1.0,0,0,0,0,38.06,-97.32,38.06,-97.32,0,0,0,0,0,79,0,0,0,False
651141,2020,4,11,2020-04-11,,3,KS,20,0,2.75,0,0,0,0,38.32,-96.93,38.32,-96.93,0,0,0,0,0,115,0,0,0,False
651142,2020,4,11,2020-04-11,,3,KS,20,0,1.75,0,0,0,0,38.66,-96.49,38.66,-96.49,0,0,0,0,0,127,0,0,0,False
651143,2020,4,11,2020-04-11,,3,KS,20,0,1.0,0,0,0,0,38.12,-97.15,38.12,-97.15,0,0,0,0,0,115,0,0,0,False
651144,2020,4,11,2020-04-11,,3,KS,20,0,1.75,0,0,0,0,38.77,-96.25,38.77,-96.25,0,0,0,0,0,197,0,0,0,False
651145,2020,4,11,2020-04-11,,3,KS,20,0,2.0,0,0,0,0,38.37,-96.77,38.37,-96.77,0,0,0,0,0,17,0,0,0,False
651146,2020,4,11,2020-04-11,,3,KS,20,0,1.25,0,0,0,0,38.37,-96.76,38.37,-96.76,0,0,0,0,0,17,0,0,0,False
651149,2020,4,11,2020-04-11,,3,OK,40,0,1.0,0,0,0,0,34.63,-99.33,34.63,-99.33,0,0,0,0,0,65,0,0,0,False
651155,2020,4,11,2020-04-11,,3,KS,20,0,1.5,0,0,0,0,38.99,-95.97,38.99,-95.97,0,0,0,0,0,197,0,0,0,False
651156,2020,4,11,2020-04-11,,3,KS,20,0,1.5,0,0,0,0,39.02,-95.8,39.02,-95.8,0,0,0,0,0,177,0,0,0,False
651157,2020,4,11,2020-04-11,,3,OK,40,0,1.75,0,0,0,0,34.51,-99.23,34.51,-99.23,0,0,0,0,0,65,0,0,0,False
651158,2020,4,11,2020-04-11,,3,KS,20,0,1.0,0,0,0,0,39.05,-95.69,39.05,-95.69,0,0,0,0,0,177,0,0,0,False
651159,2020,4,11,2020-04-11,,3,KS,20,0,1.75,0,0,0,0,39.02,-95.8,39.02,-95.8,0,0,0,0,0,177,0,0,0,False
